pref,math,pc,board,text,
北海道,62,5.8,20.8,38.5,
青森県,65,5.3,22.4,30.9,
岩手県,63,5.4,19.6,35.9,
宮城県,62,6.8,14,66.6,
秋田県,67,5.6,22.4,36.8,
山形県,63,5.7,16.6,44,
福島県,64,5.3,24.6,47.2,
茨城県,65,6.5,22,49.5,
栃木県,63,5.9,42.6,70.8,
群馬県,62,6.1,15.4,39.3,
埼玉県,62,9.6,23.9,58.8,
千葉県,62,7.7,19.8,50.4,
東京都,67,6,51.3,58.4,
奈川県,64,8.1,11.9,26.1,
新潟県,66,5.3,32.8,52.3,
富山県,66,5.4,30.2,75.7,
石川県,68,5.9,19.2,79.8,
福井県,66,5.3,39.5,66.8,
山梨県,62,4.6,23.5,71.3,
長野県,62,6.1,33.4,50.3,
岐阜県,63,5.4,53.9,62.2,
静岡県,63,6.7,22.6,75.1,
愛知県,61,8.7,28.8,64.5,
三重県,63,6.7,24.1,44.3,
滋賀県,60,5.3,40.9,73,
京都府,65,6.7,37.3,38.6,
大阪府,63,5.3,24.8,75.8,
兵庫県,63,7.2,23.7,56.8,
奈良県,63,6.8,17.9,31.6,
歌山県,63,4.7,23.9,31,
鳥取県,62,4.9,18.9,26.4,
島根県,61,7.1,19.5,15.8,
岡山県,62,4.8,14.8,59.2,
広島県,66,7.5,16.7,54.4,
山口県,64,6,34.7,43,
徳島県,61,4,53.6,83,
香川県,64,5.9,23.6,69.4,
愛媛県,65,5.5,40.7,45.7,
高知県,65,5,41.3,75.5,
福岡県,63,8.4,20.1,42.5,
佐賀県,63,3.9,132.5,96.3,
長崎県,62,4.9,42.6,57.5,
熊本県,64,6.9,36.2,79.7,
大分県,65,5.3,18.1,26.4,
宮崎県,62,7.4,23.8,52.1,
児島県,64,3.1,28.6,65.4,
沖縄県,66,6.3,57.8,95.5,
