Tokyo
32.8
31.2
31.8
34
32.6
32.8
33.3
32.3
34.4
34.4
34
35.1
33
33.2
34
32.8
34.1
35.1
35.6
32.5
33.7
32.3
32.9
32.8
31.6
33.2
32.3
32.8
33.4
34.4
32.5
34.5
32.9
32
33.2
34.4
33.4
31.7
34.2
35.7
35.1
36.1
33.6
36.4
34.2
31.3
36.2
33.5
33.8
34.4
34.4
34.1
32.7
35.1
36.2
31.5
32.2
32.7
33.1
38.1
34.4
35
34
33.8
36
33.1
34.1
34.2
36.4
34.5
38.4
36.3
35.4
35.5
34.9
33.6
35
34.7
35
37.6
37.2
35.2
35
34.9
37.2
33.5
35.8
35.5
34.4
35.2
34.3
34.2
35.5
35.4
34.9
36.3
33.5
32.2
33.9
33
37.1
35
33.9
34.6
34
32.9
33.5
35.9
35.2
34.2
32.9
39.1
36.4
38.7
34.5
35.5
34.8
34.5
36.3
35.8
34.3
36.5
35.8
35.4
37.5
35.3
33.2
37.2
36.1
35.7
38.3
36.1
37.7
37.7
37.1
37.3
35.6
37.3
