Osaka
35.1
34
34.8
35.6
35.6
34.8
35.4
35.4
34.8
34.4
35.7
36.4
35.4
35.1
36.5
36.5
34
35.2
34.9
32.9
36.6
36.3
33.3
35.8
35.3
36.2
37.6
34.6
34.5
34.3
35.1
34.9
36
34.6
35.4
34
34.7
34.3
35
36.9
36
36.6
34.5
34.3
34.1
34.6
35.1
35
35.6
35.5
34.7
35.1
36.7
34.5
36.3
34.6
35.5
35
34.7
37.2
34.4
35.2
36.2
35.5
38.1
35.5
35.4
34.6
36.3
36.4
35
36.2
35
37.7
35.8
34.4
38.2
36.6
35.6
36.4
34.5
37.1
36.7
37.1
36.4
34.8
35.6
35.9
35.8
36.9
36
35.4
35.6
34.7
35.8
38
35.8
34.2
36.8
34.6
38.5
36.9
38.1
35.8
35.2
35.4
35
38.3
37.3
35.8
34.9
39.1
36.3
36.4
35.1
35.7
37
37.7
38.4
37.1
35.4
36.2
37
37.9
38.3
36.4
36.3
37.4
36.2
36.7
38.4
34.7
38
38.1
37.4
37.6
37.5
38.6
