Industry ,Salary
Construction,4570
Construction,4640
Construction,3189
Construction,1713
Construction,5861
Construction,4004
Construction,4040
Construction,7877
Construction,5673
Construction,3710
Construction,3361
Construction,3393
Construction,2930
Construction,2420
